date, pm25, pm10, o3, no2, so2, co
2016/11/29, 78, 31, 10, 11, 5, 
2016/11/30, 81, 27, 7, 14, 5, 
2016/12/1, 75, 19, 14, 14, 4, 
2016/12/2, 57, 14, 14, 7, 4, 
2016/12/3, 41, 26, 12, 6, 4, 
2016/12/4, 72, 41, 11, 14, 5, 
2016/12/5, 105, 35, 8, 17, 5, 
2016/12/6, 90, 41, 7, 19, 4, 
2016/12/7, 108, 24, 10, 9, 5, 
2016/12/8, 69, 29, 10, 12, 5, 
2016/12/9, 78, 27, 10, 7, 5, 
2016/12/10, 75, 21, 15, 6, 5, 
2016/12/11, 61, 11, 14, 9, 5, 
2016/12/12, 31, 49, 8, 19, 7, 
2016/12/13, 119, 36, 10, 14, 6, 
2016/12/14, 94, 18, 9, 15, 4, 
2016/12/15, 53, 52, 5, 24, 6, 
2016/12/16, 127, 56, 5, 14, 7, 
2016/12/17, 139, 41, 4, 10, 6, 
2016/12/18, 105, 44, 4, 13, 6, 
2016/12/19, 104, 37, 5, 15, 6, 
2016/12/20, 94, 41, 6, 13, 5, 
2016/12/21, 104, 56, 3, 17, 7, 
2016/12/22, 144, 42, 5, 14, 6, 
2016/12/23, 108, 28, 9, 8, 6, 
2016/12/24, 79, 19, 15, 4, 5, 
2016/12/25, 58, 14, 20, 3, 5, 
2016/12/26, 45, 9, 19, 4, 4, 
2016/12/27, 24, 9, 16, 6, 4, 
2016/12/28, 19, 33, 10, 17, 6, 
2016/12/29, 84, 45, 9, 12, 6, 
2016/12/30, 118, 43, 8, 11, 7, 
2016/12/31, 110, 39, 11, 7, 7, 
2017/1/1, 99, 37, 11, 10, 7, 
2016/7/1, 39, 21, 48, 10, 3, 
2016/7/2, 48, 14, 32, 6, 2, 
2016/7/3, 36, 15, 35, 11, 3, 
2016/7/4, 29, 15, 40, 10, 3, 
2016/7/5, 32, 17, 31, 5, 2, 
2016/7/6, 27, 13, 26, 8, 2, 
2016/7/7, 29, 15, 34, 10, 2, 
2016/7/8, 34, 14, 29, 4, 2, 
2016/7/9, 33, 11, 32, 5, 2, 
2016/7/10, 27, 17, 44, 6, 4, 
2016/7/11, 40, 21, 32, 14, 4, 
2016/7/12, 55, 20, 30, 13, 3, 
2016/7/13, 56, 14, 27, 6, 3, 
2016/7/14, 37, 9, 27, 5, 2, 
2016/7/15, 20, 14, 30, 10, 3, 
2016/7/16, 37, 16, 24, 9, 2, 
2016/7/17, 44, 15, 25, 10, 2, 
2016/7/18, 34, 11, 25, 9, 2, 
2016/7/19, 22, 11, 27, 9, 2, 
2016/7/20, 15, 13, 34, 9, 3, 
2016/7/21, 18, 14, 24, 10, 2, 
2016/7/22, 25, 14, 36, 8, 2, 
2016/7/23, 37, 21, 39, 8, 3, 
2016/7/24, 54, 24, 38, 10, 3, 
2016/7/25, 49, 27, 49, 15, 3, 
2016/7/26, 56, 29, 38, 19, 3, 
2016/7/27, 63, 27, 43, 14, 4, 
2016/7/28, 63, 22, 39, 16, 4, 
2016/7/29, 54, 20, 36, 8, 4, 
2016/7/30, 51, 17, 42, 9, 4, 
2016/7/31, 43, 15, 31, 8, 3, 
2016/8/1, 39, 14, 37, 13, 3, 
2016/8/2, 30, 17, 39, 9, 3, 
2016/8/3, 46, 19, 31, 12, 4, 
2016/8/4, 47, 22, 42, 9, 5, 
2016/8/5, 51, 17, 23, 6, 3, 
2016/8/6, 49, 12, 30, 7, 3, 
2016/8/7, 28, 15, 38, 11, 4, 
2016/8/8, 32, 23, 30, 16, 4, 
2016/8/9, 51, 15, 18, 18, 3, 
2016/8/10, 40, 15, 26, 13, 3, 
2016/8/11, 34, 13, 33, 12, 3, 
2016/8/12, 28, 19, 22, 7, 4, 
2016/8/13, 54, 15, 28, 5, 3, 
2016/8/14, 39, 10, 25, 9, 3, 
2016/8/15, 20, 15, 24, 14, 4, 
2016/8/16, 35, 18, 27, 14, 4, 
2016/8/17, 37, 19, 34, 10, 4, 
2016/8/18, 42, 21, 44, 8, 4, 
2016/8/19, 53, 25, 45, 10, 6, 
2016/8/20, 60, 24, 37, 4, 4, 
2016/8/21, 63, 17, 24, 4, 3, 
2016/8/22, 49, 22, 35, 5, 4, 
2016/8/23, 55, 15, 26, 6, 3, 
2016/8/24, 38, 16, 35, 6, 4, 
2016/8/25, 38, 17, 36, 4, 6, 
2016/8/26, 36, 22, 45, 6, 5, 
2016/8/27, 52, 25, 50, 4, 5, 
2016/8/28, 63, 27, 47, 4, 5, 
2016/8/29, 54, 17, 30, 4, 4, 
2016/8/30, 26, 22, 31, 6, 4, 
2016/8/31, 40, 22, 38, 7, 5, 
2016/9/1, 46, 31, 37, 16, 2, 
2016/9/2, 56, 28, 35, 16, , 
2016/9/3, 58, 25, 40, 9, , 
2016/9/4, 57, 16, 16, 9, , 
2016/9/5, 46, 11, 23, 15, 2, 
2016/9/6, 24, 18, 35, 22, 1, 
2016/9/7, 40, 31, 41, 24, 1, 
2016/9/8, 71, 34, 58, 21, 1, 
2016/9/9, 76, 36, 60, 18, 2, 
2016/9/10, 83, 40, 69, 23, 2, 
2016/9/11, 90, 36, 49, 29, 2, 
2016/9/12, 75, 33, 50, 22, 3, 
2016/9/13, 69, 24, 35, 17, 1, 
2016/9/14, 40, 26, 41, 19, 1, 
2016/9/15, 46, 33, 47, 14, 5, 
2016/9/16, 60, 24, 37, 6, 1, 
2016/9/17, 45, 18, 26, 4, 1, 
2016/9/18, 27, 21, 27, 7, 2, 
2016/9/19, 39, 24, 20, 16, 2, 
2016/9/20, 44, 22, 12, 15, 2, 
2016/9/21, 45, 17, 19, 13, 2, 
2016/9/22, 41, 26, 15, 18, 2, 
2016/9/23, 60, 24, 23, 13, 2, 
2016/9/24, 61, 25, 23, 13, 2, 
2016/9/25, 67, 18, 22, 9, 1, 
2016/9/26, 47, 22, 24, 11, 1, 
2016/9/27, 52, 44, 18, 13, 3, 
2016/9/28, 96, 25, 20, 11, 3, 
2016/9/29, 45, 26, 23, 16, 3, 
2016/9/30, 49, 22, 17, 12, 2, 
2016/4/1, 54, 22, 25, 14, 4, 
2016/4/2, 53, 26, 26, 5, 6, 
2016/4/3, 65, 42, 30, 11, 13, 
2016/4/4, 80, 47, 32, 10, 8, 
2016/4/5, 89, 50, 20, 17, 5, 
2016/4/6, 115, 32, 28, 11, 5, 
2016/4/7, 78, 31, 18, 16, 5, 
2016/4/8, 70, 21, 21, 6, 4, 
2016/4/9, 53, 20, 18, 5, 4, 
2016/4/10, 57, 23, 17, 9, 4, 
2016/4/11, 53, 39, 16, 10, 4, 
2016/4/12, 89, 58, 22, , 4, 
2016/4/13, 137, 36, 24, 12, 5, 
2016/4/14, 87, 30, 26, 15, 5, 
2016/4/15, 64, 26, 27, 7, 4, 
2016/4/16, 69, 28, 28, 7, 4, 
2016/4/17, 76, 21, 25, 11, 3, 
2016/4/18, 46, 30, 21, 15, 3, 
2016/4/19, 61, 18, 21, 12, 3, 
2016/4/20, 40, 23, 26, 14, 3, 
2016/4/21, 55, 27, 24, 13, 4, 
2016/4/22, 51, 29, 28, 14, 6, 
2016/4/23, 64, 17, 24, 7, 4, 
2016/4/24, 46, 23, 22, 16, 7, 
2016/4/25, 55, 32, 28, 13, 6, 
2016/4/26, 73, 17, 19, 15, 4, 
2016/4/27, 48, 17, 23, 8, 1, 
2016/4/28, 49, 18, 28, 9, 4, 
2016/4/29, 51, 24, 27, 9, 4, 
2016/4/30, 67, 29, 29, 13, 5, 
2016/5/1, 75, 27, 28, 15, 3, 
2016/5/2, 71, 23, 30, 13, 3, 
2016/5/3, 62, 22, 31, 17, 3, 
2016/5/4, 55, 21, 37, 13, 4, 
2016/5/5, 42, 28, 35, 20, 3, 
2016/5/6, 46, 23, 37, 12, 3, 
2016/5/7, 45, 22, 36, 15, 3, 
2016/5/8, 55, 20, 37, 14, 3, 
2016/5/9, 48, 23, 40, 14, 4, 
2016/5/10, 48, 27, 36, 21, 4, 
2016/5/11, 55, 24, 39, 14, 3, 
2016/5/12, 53, 22, 36, 9, 4, 
2016/5/13, 48, 17, 31, 11, 4, 
2016/5/14, 48, 15, 31, 4, 4, 
2016/5/15, 34, 15, 21, 6, 3, 
2016/5/16, 38, 16, 25, 12, 4, 
2016/5/17, 44, 21, 27, 14, 3, 
2016/5/18, 52, 22, 36, 15, 5, 
2016/5/19, 58, 31, 38, 25, 4, 
2016/5/20, 63, 30, 36, 16, 4, 
2016/5/21, 65, 26, 36, 14, 4, 
2016/5/22, 62, 26, 39, 6, 4, 
2016/5/23, 56, 21, 36, 6, 3, 
2016/5/24, 32, 30, 28, 21, 4, 
2016/5/25, 51, 25, 35, 13, 3, 
2016/5/26, 62, 31, 35, 12, 3, 
2016/5/27, 71, 20, 41, 8, 3, 
2016/5/28, 49, 23, 38, 6, 3, 
2016/5/29, 52, 24, 37, 5, 4, 
2016/5/30, 54, 28, 30, 10, 5, 
2016/5/31, 66, 21, 34, 7, 5, 
2016/6/1, 54, 18, 33, 4, 5, 
2016/6/2, 43, 21, 39, 9, 6, 6
2016/6/3, 44, 29, 46, 23, 6, 
2016/6/4, 65, 14, 37, 7, 6, 
2016/6/5, 27, 13, 30, 8, 5, 
2016/6/6, 18, 21, 34, 14, 5, 
2016/6/7, 31, 23, 43, 12, 6, 
2016/6/8, 33, 21, 32, 11, 6, 
2016/6/9, 39, 20, 33, 13, 5, 
2016/6/10, 36, 9, 30, 8, , 
2016/6/11, 17, 11, 33, 10, 1, 
2016/6/12, 26, 12, 33, 5, 1, 
2016/6/13, 21, 17, 30, 5, 1, 
2016/6/14, 33, 21, 31, 12, 2, 
2016/6/15, 44, 14, 32, 7, 1, 
2016/6/16, 33, 25, 34, 5, 2, 
2016/6/17, 35, 13, 35, 7, 1, 
2016/6/18, 26, 20, 41, 15, 1, 
2016/6/19, 46, 20, 24, 13, 1, 
2016/6/20, 57, 16, 36, 7, 1, 
2016/6/21, 42, 22, 39, 20, 1, 
2016/6/22, 46, 26, 38, 17, 2, 
2016/6/23, 53, 30, 41, 7, 2, 
2016/6/24, 60, 31, 45, 5, 4, 
2016/6/25, 62, 28, 48, 5, 3, 
2016/6/26, 57, 12, 35, 6, 1, 
2016/6/27, 24, 20, 31, 19, 2, 
2016/6/28, 42, 23, 45, 12, 3, 
2016/6/29, 53, 25, 47, 13, 3, 
2016/6/30, 48, 15, 44, 11, 2, 
2016/1/4, 105, 57, 5, 14, 6, 
2016/1/5, 148, 50, 5, 9, 6, 
2016/1/6, 138, 41, 4, 10, 6, 
2016/1/7, 117, 37, 7, 12, 5, 
2016/1/8, 107, 25, 12, 14, 5, 
2016/1/9, 80, 29, 13, 8, 5, 
2016/1/10, 91, 31, 9, 13, 5, 
2016/1/11, 96, 37, 6, 14, 5, 
2016/1/12, 104, 21, 11, 13, 5, 
2016/1/13, 70, 16, 18, 13, 4, 
2016/1/14, 59, 36, 5, 15, 5, 
2016/1/15, 107, 23, 15, 15, 9, 
2016/1/16, 75, 57, 9, 22, 8, 
2016/1/17, 156, 53, 6, 24, 6, 
2016/1/18, 142, 43, 11, 20, 7, 
2016/1/19, 123, 50, 8, 19, 10, 
2016/1/20, 142, 22, 15, 15, 6, 
2016/1/21, 73, 26, 13, 22, 6, 
2016/1/22, 78, , 11, 23, 9, 
2016/1/27, 84, 17, 18, 10, 4, 
2016/1/28, 45, 24, 18, 12, 4, 
2016/1/29, 63, 23, 17, 8, 4, 
2016/1/30, 58, 15, 21, 4, 4, 
2016/1/31, 44, 19, 17, 10, 4, 
2016/2/1, 60, 12, 21, 7, 4, 
2016/2/2, 35, 13, 22, 5, 3, 
2016/2/3, 37, 19, 17, 9, 3, 
2016/2/4, 55, 24, 16, 10, 3, 
2016/2/5, 67, 40, 11, 10, 5, 
2016/2/6, 105, 28, 21, 5, 5, 
2016/2/7, 78, 26, 18, 9, 5, 
2016/2/8, 71, 16, 22, 8, 4, 
2016/2/9, 39, 16, 17, 10, 4, 
2016/2/10, 50, 24, 18, 13, 4, 
2016/2/11, 66, 24, 17, 10, 4, 
2016/2/12, 68, 29, 16, 8, 5, 
2016/2/13, 79, 38, 17, 8, 6, 
2016/2/14, 99, 44, 9, 19, 9, 
2016/2/15, 111, 24, 15, 12, 5, 
2016/2/16, 67, 19, 17, 6, 2, 
2016/2/17, 55, 37, 11, 9, 4, 
2016/2/18, 91, 27, 7, 14, 3, 
2016/2/19, 76, 34, 16, 10, 4, 
2016/2/20, 94, 18, 18, 8, 4, 
2016/2/21, 56, 9, 21, 7, 3, 
2016/2/22, 28, 20, 23, 12, 3, 
2016/2/23, 56, 21, 19, 10, 3, 
2016/2/24, 61, 28, 21, 14, 4, 
2016/2/25, 73, 47, 14, 21, 5, 
2016/2/26, 120, 52, 15, 14, 4, 
2016/2/27, 130, 48, 15, 17, 5, 
2016/2/28, 122, 41, 12, 11, 5, 
2016/2/29, 109, 21, 12, 16, 4, 
2016/3/1, 63, 32, 15, 11, 4, 
2016/3/2, 87, 35, 16, 12, 8, 
2016/3/3, 91, 29, 12, 9, 4, 
2016/3/4, 79, 40, 11, 6, 4, 
2016/3/5, 103, 32, 17, 8, 6, 
2016/3/6, 88, 34, 13, 13, 7, 
2016/3/7, 88, 32, 14, 17, 8, 
2016/3/8, 83, 36, 21, 12, 3, 
2016/3/9, 96, 21, 15, 10, 2, 
2016/3/10, 61, 21, 4, 10, 2, 
2016/3/11, 63, 29, 6, 9, 2, 
2016/3/12, 75, 20, 24, 11, 2, 
2016/3/13, 58, 44, 22, 19, 5, 
2016/3/14, 104, 18, 15, 11, 2, 
2016/3/15, 56, 26, 21, 16, 3, 
2016/3/16, 63, 43, 19, 16, 4, 
2016/3/17, 106, 31, 20, 11, 5, 
2016/3/18, 76, 14, 20, 8, 6, 
2016/3/19, 34, 32, 15, 8, 3, 
2016/3/20, 86, 29, 20, 10, 4, 
2016/3/21, 74, 23, 18, 15, 4, 
2016/3/22, 67, 22, 24, 10, 4, 
2016/3/23, 59, 33, 23, 18, 5, 
2016/3/24, 79, 51, 21, 17, 5, 
2016/3/25, 123, 47, 10, 13, 4, 
2016/3/26, 122, 47, 30, 10, 4, 
2016/3/27, 119, 36, 27, 7, 6, 
2016/3/28, 94, 30, 20, 10, 4, 
2016/3/29, 75, 19, 21, 14, 5, 
2016/3/30, 52, 32, 19, 17, 5, 
2016/3/31, 78, 22, 21, 14, 4, 
2015/10/1, 85, 30, 22, 17, 3, 7
2015/10/2, 71, 30, 29, 15, 6, 4
2015/10/3, 77, 27, 30, 10, 3, 6
2015/10/4, 79, 39, 31, 18, 4, 4
2015/10/5, 99, 36, 13, 15, 1, 8
2015/10/6, 94, 11, 21, 5, 1, 3
2015/10/7, 26, 15, 22, 7, 1, 2
2015/10/8, 36, 20, 23, 12, 1, 3
2015/10/9, 50, 31, 25, 16, 1, 7
2015/10/10, 79, 27, 25, 13, 1, 6
2015/10/11, 77, 15, 19, 6, 2, 6
2015/10/12, 47, 23, 20, 2, 3, 4
2015/10/13, 68, , , , , 
2015/10/15, 93, 37, 24, 6, 2, 5
2015/10/16, 100, 30, 15, 7, 2, 4
2015/10/17, 89, 19, 13, 6, 2, 5
2015/10/18, 71, 28, 11, 14, 2, 6
2015/10/19, 84, 36, 9, 18, 3, 10
2015/10/20, 99, 28, 11, 9, 2, 4
2015/10/21, 84, 18, 11, 12, 2, 3
2015/10/22, 61, 16, 16, 10, 3, 5
2015/10/23, 55, 16, 17, 10, 2, 2
2015/10/24, 48, 31, 11, 10, 2, 5
2015/10/25, 90, 27, 16, 17, 2, 2
2015/10/26, 74, 43, 5, 19, 2, 16
2015/10/27, 121, 30, 20, 11, 2, 5
2015/10/28, 85, 25, 15, 12, 3, 14
2015/10/29, 74, 50, 12, 16, 6, 7
2015/10/30, 126, 40, 16, 10, 2, 14
2015/10/31, 111, 39, 21, 11, 3, 5
2015/11/1, 109, 24, 15, 16, 5, 
2015/11/2, 67, 69, 6, 23, 4, 5
2015/11/3, 169, 65, 10, 23, 5, 12
2015/11/4, 159, 32, 8, 12, 2, 5
2015/11/5, 96, 35, 7, 10, 5, 7
2015/11/6, 100, 51, 3, 13, 3, 8
2015/11/7, 138, 19, 24, 5, 2, 2
2015/11/8, 49, 17, 14, 11, 2, 4
2015/11/9, 62, 9, 17, 7, 1, 4
2015/11/10, 39, 8, 16, 3, 1, 3
2015/11/11, 35, 16, 16, 7, 1, 3
2015/11/12, 56, 27, 11, 14, 1, 6
2015/11/13, 76, 11, 22, 6, 1, 3
2015/11/14, 38, 10, 20, 7, 2, 4
2015/11/15, 43, 22, 14, 12, 3, 4
2015/11/16, 71, 22, 5, 12, 2, 4
2015/11/17, 72, 7, 21, 7, 2, 4
2015/11/18, 27, 7, 20, 6, 2, 3
2015/11/19, 28, 10, 21, 9, 2, 3
2015/11/20, 41, 21, 11, 15, 3, 6
2015/11/21, 68, 30, 11, 11, 3, 6
2015/11/22, 98, 26, 13, 15, 3, 5
2015/11/23, 86, 32, 7, 17, 2, 5
2015/11/24, 94, 28, 9, 13, 5, 4
2015/11/25, 87, 36, 8, 14, 4, 5
2015/11/26, 106, 39, 4, 16, 2, 11
2015/11/27, 114, 37, 5, 11, 4, 
2015/11/28, 109, 17, 16, 7, 3, 4
2015/11/29, 62, 8, 20, 7, 3, 3
2015/11/30, 28, 9, 19, 10, 2, 3
2015/12/1, 38, 20, 13, 14, 2, 4
2015/12/2, 65, 26, 7, 14, 2, 
2015/12/3, 86, 26, 11, 12, 3, 4
2015/12/4, 78, 16, 15, 7, 2, 4
2015/12/5, 59, 12, 19, 5, 2, 
2015/12/6, 51, 18, 16, 11, 2, 6
2015/12/7, 62, 27, 5, 15, 1, 6
2015/12/8, 80, 26, 9, 10, 2, 4
2015/12/9, 84, 26, 13, 14, 2, 4
2015/12/10, 79, 27, 9, 14, 4, 5
2015/12/11, 81, 14, 16, 8, 2, 4
2015/12/12, 54, 10, 18, 5, 2, 3
2015/12/13, 40, 17, 18, 19, 2, 3
2015/12/14, 49, 34, 10, 14, 3, 
2015/12/15, 101, 33, 6, 10, 2, 5
2015/12/16, 100, 30, 6, 12, 4, 7
2015/12/17, 93, 37, 4, 13, 1, 12
2015/12/18, 94, 29, 12, 8, 2, 7
2015/12/19, 88, 26, 10, 12, 5, 6
2015/12/20, 78, 20, 8, 13, 4, 8
2015/12/21, 69, 9, 21, 8, 2, 3
2015/12/22, 36, 9, 17, 7, 1, 1
2015/12/23, 34, 18, 12, 9, 1, 4
2015/12/24, 68, 22, 15, 6, 3, 3
2015/12/25, 73, 9, 19, 2, 2, 3
2015/12/26, 36, 10, 19, 5, 1, 3
2015/12/27, 39, 9, 16, 8, 1, 2
2015/12/28, 39, 11, 19, 7, 1, 
2015/12/29, 37, 19, 17, 10, 2, 
2015/12/30, 62, , , , , 
2015/7/1, 24, 11, 27, 5, 2, 1
2015/7/2, 21, 13, 30, 7, 2, 2
2015/7/3, 27, 17, 33, 9, 3, 4
2015/7/4, 40, 18, 43, 11, 3, 4
2015/7/5, 46, 20, 39, 8, 4, 2
2015/7/6, 51, 15, 41, 10, 3, 
2015/7/7, 32, 16, 38, 7, 3, 4
2015/7/8, 48, 12, 24, 6, 3, 
2015/7/9, 26, 9, 21, 4, 3, 1
2015/7/10, 18, 7, 19, 4, 3, 3
2015/7/11, 17, 6, 25, 6, 3, 4
2015/7/12, 19, 13, 28, 8, 3, 3
2015/7/13, 43, 13, 23, 5, 3, 2
2015/7/14, 39, 15, 34, 8, 3, 
2015/7/15, 40, 13, 41, 9, 3, 3
2015/7/16, 31, 16, 46, 14, 3, 2
2015/7/17, 38, 16, 60, 6, 4, 3
2015/7/18, 31, 14, 48, 4, 4, 4
2015/7/19, 43, 15, 39, 6, 3, 2
2015/7/20, 30, 15, 40, 10, 3, 3
2015/7/21, 38, 16, 41, 8, 3, 4
2015/7/22, 42, 17, 44, 8, 4, 4
2015/7/23, 41, 12, 42, 6, 3, 
2015/7/24, 30, 16, 47, 3, 4, 2
2015/7/25, 39, 12, 30, 3, 2, 2
2015/7/26, 26, 12, 37, 9, 6, 
2015/7/27, 39, 8, 30, 6, 2, 7
2015/7/28, 25, 13, 34, 8, 1, 5
2015/7/29, 33, 9, 31, 4, 1, 1
2015/7/30, 22, 9, 28, 7, 1, 
2015/7/31, 20, 11, 42, 10, 1, 
2015/8/1, 29, 13, 44, 5, 1, 
2015/8/2, 32, 22, 56, 18, 3, 5
2015/8/3, 50, 27, 54, 9, 2, 3
2015/8/4, 53, 27, 61, 8, 5, 
2015/8/5, 54, 34, 74, 15, 2, 6
2015/8/6, 63, 30, 63, 12, 2, 6
2015/8/7, 62, 27, 68, 9, 3, 
2015/8/8, 62, 22, 55, 6, 3, 
2015/8/9, 58, 14, 51, 7, 3, 6
2015/8/10, 38, 22, 68, 12, 3, 
2015/8/11, 46, 29, 62, 18, 3, 5
2015/8/12, 58, 18, 42, 8, 3, 
2015/8/13, 40, 14, 39, 4, 3, 
2015/8/14, 24, 19, 45, 2, 4, 
2015/8/15, 48, 17, 42, 3, 3, 3
2015/8/16, 39, 21, 37, 4, 3, 3
2015/8/17, 31, 18, 31, 2, 3, 3
2015/8/18, 24, 22, 31, 4, 3, 5
2015/8/19, 40, 19, 31, 4, 3, 
2015/8/20, 37, 27, 33, 10, 2, 6
2015/8/21, 43, 23, 33, 12, 3, 2
2015/8/22, 48, 24, 41, 10, 3, 4
2015/8/23, 50, 27, 43, 8, 5, 4
2015/8/24, 55, 18, 32, 7, 3, 5
2015/8/25, 45, 11, 37, 8, 2, 6
2015/8/26, 33, 13, 42, 13, 3, 5
2015/8/27, 38, 18, 39, 8, 4, 6
2015/8/28, 48, 11, 36, 8, 2, 4
2015/8/29, 35, 18, 43, 14, 3, 4
2015/8/30, 49, 21, 58, 11, 2, 5
2015/8/31, 54, 28, 63, 20, 4, 7
2015/9/1, 61, 19, 33, 15, 3, 5
2015/9/2, 44, 21, 33, 19, 4, 5
2015/9/3, 52, 17, 24, 17, 4, 
2015/9/4, 54, 16, 37, 10, 4, 2
2015/9/5, 47, 8, 25, 6, 4, 2
2015/9/6, 21, 3, 29, 6, 4, 4
2015/9/7, 12, 5, 18, 8, 3, 3
2015/9/8, 15, 13, 14, 15, 4, 4
2015/9/9, 38, 17, 29, 15, 1, 4
2015/9/10, 46, 12, 27, 4, , 2
2015/9/11, 38, 13, 20, 3, , 3
2015/9/12, 45, 19, 20, 3, , 3
2015/9/13, 63, 18, 28, 3, 1, 4
2015/9/14, 56, 17, 30, 9, 3, 3
2015/9/15, 52, 19, 35, 11, 1, 6
2015/9/16, 55, 26, 37, 15, 1, 5
2015/9/17, 63, 16, 28, 12, 1, 3
2015/9/18, 31, 20, 30, 17, 2, 3
2015/9/19, 59, 23, 25, 14, 2, 5
2015/9/20, 69, 12, 20, 10, 1, 4
2015/9/21, 38, 17, 24, 10, 3, 3
2015/9/22, 56, 25, 27, 16, 4, 
2015/9/23, 62, 34, 27, 18, 7, 3
2015/9/24, 79, 21, 21, 14, 4, 5
2015/9/25, 60, , , 6, 1, 
2015/9/26, 34, 6, 21, 7, , 3
2015/9/27, 17, 8, 19, 15, 2, 2
2015/9/28, 26, 8, 16, 15, , 6
2015/9/29, 26, 11, 20, 14, 1, 6
2015/9/30, 30, 37, 19, 19, 2, 11
2015/4/1, 19, 11, 21, 7, 1, 
2015/4/2, 41, 13, 21, 9, 1, 3
2015/4/3, 48, 14, 18, 6, 2, 
2015/4/4, 53, 8, 22, 3, 1, 2
2015/4/5, 37, 9, 18, 5, 1, 4
2015/4/6, 40, 17, 29, 9, 3, 4
2015/4/7, 60, 13, 20, 6, 1, 2
2015/4/8, 50, 26, 21, 18, 2, 4
2015/4/9, 44, 31, 26, 19, 4, 
2015/4/10, 95, 39, 39, 17, 2, 5
2015/4/11, 99, 20, 22, 7, 2, 5
2015/4/12, 50, 25, 21, 6, 2, 3
2015/4/13, 43, 14, 25, 5, 1, 2
2015/4/14, 36, 20, 19, 8, 1, 2
2015/4/15, 63, 17, 32, 7, 1, 2
2015/4/16, 37, 17, 27, 11, 2, 2
2015/4/17, 41, 7, 19, 4, 1, 4
2015/4/18, 26, 12, 20, 6, 2, 6
2015/4/19, 48, 14, 23, 7, 1, 3
2015/4/20, 23, 11, 25, 8, 2, 4
2015/4/21, 27, 26, 25, 18, 2, 4
2015/4/22, 56, 33, 27, 15, 2, 4
2015/4/23, 65, 23, 25, 10, 2, 
2015/4/24, 55, , , , , 
2015/4/26, 55, 15, 29, 8, 3, 
2015/4/27, 49, 19, 26, 9, 2, 
2015/4/28, 54, 10, 26, 6, 1, 
2015/4/29, 33, 17, 25, 11, 4, 
2015/4/30, 50, 18, 23, 6, 2, 2
2015/5/1, 60, 16, 28, 7, 2, 3
2015/5/2, 53, 21, 30, 10, 2, 7
2015/5/3, 63, 19, 22, 7, 4, 3
2015/5/4, 58, 23, 34, 7, 2, 3
2015/5/5, 66, 15, 15, 14, 2, 3
2015/5/6, 51, 17, 34, 11, 2, 5
2015/5/7, 49, 15, 28, 10, 1, 3
2015/5/8, 31, 14, 40, 10, 3, 2
2015/5/9, 41, 17, 24, 5, 2, 2
2015/5/10, 53, 9, 24, 6, 1, 
2015/5/11, 28, 16, 38, 7, 2, 
2015/5/12, 43, 11, 32, 4, 1, 1
2015/5/13, 27, 15, 25, 11, 2, 7
2015/5/14, 39, 11, 29, 6, 2, 2
2015/5/15, 33, 10, 30, 10, 2, 
2015/5/16, 30, 13, 29, 4, 1, 1
2015/5/17, 34, 17, 28, 8, 1, 2
2015/5/18, 42, 23, 31, 12, 3, 1
2015/5/19, 57, 22, 35, 9, 3, 
2015/5/20, 61, 12, 19, 9, 1, 
2015/5/21, 34, 15, 26, 9, 2, 1
2015/5/22, 37, 19, 23, 15, 2, 2
2015/5/23, 61, 20, 26, 11, 2, 2
2015/5/24, 70, 20, 21, 11, 2, 4
2015/5/25, 60, 21, 20, 10, 2, 4
2015/5/26, 64, 11, 19, 7, 1, 2
2015/5/27, 23, 10, 24, 7, 2, 
2015/5/28, 27, 22, 34, 8, 3, 1
2015/5/29, 57, 22, 28, 11, 2, 5
2015/5/30, 58, 9, 32, 5, 2, 2
2015/5/31, 27, 14, 34, 7, 2, 3
2015/6/1, 37, 17, 31, 7, 2, 1
2015/6/2, 38, 19, 38, 15, 2, 4
2015/6/3, 34, 11, 30, 4, 1, 2
2015/6/4, 24, 9, 30, 5, 1, 2
2015/6/5, 18, 13, 37, 4, 3, 2
2015/6/6, 25, 18, 33, 5, 3, 
2015/6/7, 48, 14, 27, 6, 2, 2
2015/6/8, 22, 13, 18, 7, 2, 1
2015/6/9, 25, 15, 28, 7, 1, 2
2015/6/10, 30, 16, 33, 14, 2, 
2015/6/11, 28, 21, 42, 15, 6, 4
2015/6/12, 50, 16, 43, 5, 2, 3
2015/6/13, 51, 18, 33, 5, 3, 3
2015/6/14, 56, 18, 32, 12, 1, 5
2015/6/15, 51, 8, 26, 5, 1, 2
2015/6/16, 17, 11, 28, 7, 2, 3
2015/6/17, 23, 17, 28, 11, 3, 
2015/6/18, 42, 13, 20, 8, 2, 
2015/6/19, 39, 9, 21, 7, 2, 3
2015/6/20, 29, 8, 24, 4, 2, 1
2015/6/21, 31, 11, 24, 5, 3, 2
2015/6/22, 35, 9, 18, 5, 3, 2
2015/6/23, 27, 15, 28, 4, 2, 
2015/6/24, 33, 12, 28, 7, 2, 2
2015/6/25, 32, 19, 29, 8, 3, 3
2015/6/26, 51, 18, 22, 8, 2, 2
2015/6/27, 53, 16, 29, 10, 2, 2
2015/6/28, 50, 19, 18, 8, 3, 1
2015/6/29, 56, 12, 28, 9, 2, 3
2015/6/30, 33, 11, 22, 13, 2, 3
2015/1/1, 83, 18, 12, 5, 2, 
2015/1/2, 59, 11, 21, 2, 2, 1
